"idhod","hodnota","ukaz_kod","vytah_cis","vytah_kod","uzemi_cis","uzemi_kod","sldb_rok","sldb_datum","ukaz_txt","vytah_txt","uzemi_txt"
"957389116","618","2409",,,"43","500011","2021","2021-03-26","Počet domů",,"Želechovice nad Dřevnicí"
"965541157","0","2409","3206","1","43","500011","2021","2021-03-26","Počet domů","s výtahem","Želechovice nad Dřevnicí"
"965501099","599","2409","3206","2","43","500011","2021","2021-03-26","Počet domů","bez výtahu","Želechovice nad Dřevnicí"
"965581375","19","2409","5768","9","43","500011","2021","2021-03-26","Počet domů","nezjištěno","Želechovice nad Dřevnicí"
"957605712","376","2409",,,"43","500020","2021","2021-03-26","Počet domů",,"Petrov nad Desnou"
"965526779","0","2409","3206","1","43","500020","2021","2021-03-26","Počet domů","s výtahem","Petrov nad Desnou"
"965566816","373","2409","3206","2","43","500020","2021","2021-03-26","Počet domů","bez výtahu","Petrov nad Desnou"
"965540086","3","2409","5768","9","43","500020","2021","2021-03-26","Počet domů","nezjištěno","Petrov nad Desnou"
"957461987","556","2409",,,"43","500046","2021","2021-03-26","Počet domů",,"Libhošť"
"965502262","0","2409","3206","1","43","500046","2021","2021-03-26","Počet domů","s výtahem","Libhošť"
"965569035","555","2409","3206","2","43","500046","2021","2021-03-26","Počet domů","bez výtahu","Libhošť"
"965515750","1","2409","5768","9","43","500046","2021","2021-03-26","Počet domů","nezjištěno","Libhošť"
"957098154","666","2409",,,"43","500062","2021","2021-03-26","Počet domů",,"Krhová"
"965501374","1","2409","3206","1","43","500062","2021","2021-03-26","Počet domů","s výtahem","Krhová"
"965487939","659","2409","3206","2","43","500062","2021","2021-03-26","Počet domů","bez výtahu","Krhová"
"965554897","6","2409","5768","9","43","500062","2021","2021-03-26","Počet domů","nezjištěno","Krhová"
"957605291","537","2409",,,"43","500071","2021","2021-03-26","Počet domů",,"Poličná"
"965540148","0","2409","3206","1","43","500071","2021","2021-03-26","Počet domů","s výtahem","Poličná"
"965500085","531","2409","3206","2","43","500071","2021","2021-03-26","Počet domů","bez výtahu","Poličná"
"965486758","6","2409","5768","9","43","500071","2021","2021-03-26","Počet domů","nezjištěno","Poličná"
"957533085","40","2409",,,"43","500101","2021","2021-03-26","Počet domů",,"Bražec"
"965500503","0","2409","3206","1","43","500101","2021","2021-03-26","Počet domů","s výtahem","Bražec"
"965500502","40","2409","3206","2","43","500101","2021","2021-03-26","Počet domů","bez výtahu","Bražec"
"965500504","0","2409","5768","9","43","500101","2021","2021-03-26","Počet domů","nezjištěno","Bražec"
"957171223","43","2409",,,"43","500127","2021","2021-03-26","Počet domů",,"Doupovské Hradiště"
"965487039","0","2409","3206","1","43","500127","2021","2021-03-26","Počet domů","s výtahem","Doupovské Hradiště"
"965567279","43","2409","3206","2","43","500127","2021","2021-03-26","Počet domů","bez výtahu","Doupovské Hradiště"
"965487175","0","2409","5768","9","43","500127","2021","2021-03-26","Počet domů","nezjištěno","Doupovské Hradiště"
"957605446","45","2409",,,"43","500135","2021","2021-03-26","Počet domů",,"Kozlov"
"965527118","0","2409","3206","1","43","500135","2021","2021-03-26","Počet domů","s výtahem","Kozlov"
"965513761","45","2409","3206","2","43","500135","2021","2021-03-26","Počet domů","bez výtahu","Kozlov"
"965500336","0","2409","5768","9","43","500135","2021","2021-03-26","Počet domů","nezjištěno","Kozlov"
"957388184","35","2409",,,"43","500151","2021","2021-03-26","Počet domů",,"Luboměř pod Strážnou"
"965500337","0","2409","3206","1","43","500151","2021","2021-03-26","Počet domů","s výtahem","Luboměř pod Strážnou"
"965580618","35","2409","3206","2","43","500151","2021","2021-03-26","Počet domů","bez výtahu","Luboměř pod Strážnou"
"965540411","0","2409","5768","9","43","500151","2021","2021-03-26","Počet domů","nezjištěno","Luboměř pod Strážnou"
"957534397","111","2409",,,"43","500160","2021","2021-03-26","Počet domů",,"Město Libavá"
"965515653","1","2409","3206","1","43","500160","2021","2021-03-26","Počet domů","s výtahem","Město Libavá"
"965542259","109","2409","3206","2","43","500160","2021","2021-03-26","Počet domů","bez výtahu","Město Libavá"
"965488747","1","2409","5768","9","43","500160","2021","2021-03-26","Počet domů","nezjištěno","Město Libavá"
"957248297","39","2409",,,"43","500194","2021","2021-03-26","Počet domů",,"Polná na Šumavě"
"965500500","0","2409","3206","1","43","500194","2021","2021-03-26","Počet domů","s výtahem","Polná na Šumavě"
"965500499","35","2409","3206","2","43","500194","2021","2021-03-26","Počet domů","bez výtahu","Polná na Šumavě"
"965500501","4","2409","5768","9","43","500194","2021","2021-03-26","Počet domů","nezjištěno","Polná na Šumavě"
"957171069","630","2409",,,"43","500259","2021","2021-03-26","Počet domů",,"Veřovice"
"965541417","0","2409","3206","1","43","500259","2021","2021-03-26","Počet domů","s výtahem","Veřovice"
"965568133","627","2409","3206","2","43","500259","2021","2021-03-26","Počet domů","bez výtahu","Veřovice"
"965581640","3","2409","5768","9","43","500259","2021","2021-03-26","Počet domů","nezjištěno","Veřovice"
"957389881","877","2409",,,"43","500291","2021","2021-03-26","Počet domů",,"Vřesina"
"965514872","1","2409","3206","1","43","500291","2021","2021-03-26","Počet domů","s výtahem","Vřesina"
"965501388","868","2409","3206","2","43","500291","2021","2021-03-26","Počet domů","bez výtahu","Vřesina"
"965487956","8","2409","5768","9","43","500291","2021","2021-03-26","Počet domů","nezjištěno","Vřesina"
"957389544","11760","2409",,,"43","500496","2021","2021-03-26","Počet domů",,"Olomouc"
"965502012","1079","2409","3206","1","43","500496","2021","2021-03-26","Počet domů","s výtahem","Olomouc"
"965528773","10646","2409","3206","2","43","500496","2021","2021-03-26","Počet domů","bez výtahu","Olomouc"
"965502013","35","2409","5768","9","43","500496","2021","2021-03-26","Počet domů","nezjištěno","Olomouc"
"957248260","724","2409",,,"43","500526","2021","2021-03-26","Počet domů",,"Bělkovice-Lašťany"
"965528270","0","2409","3206","1","43","500526","2021","2021-03-26","Počet domů","s výtahem","Bělkovice-Lašťany"
"965514971","723","2409","3206","2","43","500526","2021","2021-03-26","Počet domů","bez výtahu","Bělkovice-Lašťany"
"965528271","1","2409","5768","9","43","500526","2021","2021-03-26","Počet domů","nezjištěno","Bělkovice-Lašťany"
"957320354","477","2409",,,"43","500623","2021","2021-03-26","Počet domů",,"Bílá Lhota"
"965500087","0","2409","3206","1","43","500623","2021","2021-03-26","Počet domů","s výtahem","Bílá Lhota"
"965540149","455","2409","3206","2","43","500623","2021","2021-03-26","Počet domů","bez výtahu","Bílá Lhota"
"965500088","22","2409","5768","9","43","500623","2021","2021-03-26","Počet domů","nezjištěno","Bílá Lhota"
"957320712","216","2409",,,"43","500801","2021","2021-03-26","Počet domů",,"Blatec"
"965543131","0","2409","3206","1","43","500801","2021","2021-03-26","Počet domů","s výtahem","Blatec"
"965516533","215","2409","3206","2","43","500801","2021","2021-03-26","Počet domů","bez výtahu","Blatec"
"965516534","1","2409","5768","9","43","500801","2021","2021-03-26","Počet domů","nezjištěno","Blatec"
"957247883","777","2409",,,"43","500852","2021","2021-03-26","Počet domů",,"Bohuňovice"
"965516221","0","2409","3206","1","43","500852","2021","2021-03-26","Počet domů","s výtahem","Bohuňovice"
"965529442","776","2409","3206","2","43","500852","2021","2021-03-26","Počet domů","bez výtahu","Bohuňovice"
"965504147","1","2409","5768","9","43","500852","2021","2021-03-26","Počet domů","nezjištěno","Bohuňovice"
"957605449","613","2409",,,"43","500861","2021","2021-03-26","Počet domů",,"Bouzov"
"965540885","1","2409","3206","1","43","500861","2021","2021-03-26","Počet domů","s výtahem","Bouzov"
"965567612","585","2409","3206","2","43","500861","2021","2021-03-26","Počet domů","bez výtahu","Bouzov"
"965500858","27","2409","5768","9","43","500861","2021","2021-03-26","Počet domů","nezjištěno","Bouzov"
"957389154","275","2409",,,"43","500879","2021","2021-03-26","Počet domů",,"Bystročice"
"965501531","0","2409","3206","1","43","500879","2021","2021-03-26","Počet domů","s výtahem","Bystročice"
"965555048","272","2409","3206","2","43","500879","2021","2021-03-26","Počet domů","bez výtahu","Bystročice"
"965541609","3","2409","5768","9","43","500879","2021","2021-03-26","Počet domů","nezjištěno","Bystročice"
"957099124","668","2409",,,"43","501476","2021","2021-03-26","Počet domů",,"Dlouhá Loučka"
"965582243","1","2409","3206","1","43","501476","2021","2021-03-26","Počet domů","s výtahem","Dlouhá Loučka"
"965488486","661","2409","3206","2","43","501476","2021","2021-03-26","Počet domů","bez výtahu","Dlouhá Loučka"
"965555445","6","2409","5768","9","43","501476","2021","2021-03-26","Počet domů","nezjištěno","Dlouhá Loučka"
"957098866","828","2409",,,"43","501646","2021","2021-03-26","Počet domů",,"Dolany"
"965581096","2","2409","3206","1","43","501646","2021","2021-03-26","Počet domů","s výtahem","Dolany"
"965581095","822","2409","3206","2","43","501646","2021","2021-03-26","Počet domů","bez výtahu","Dolany"
"965487355","4","2409","5768","9","43","501646","2021","2021-03-26","Počet domů","nezjištěno","Dolany"
"957098347","633","2409",,,"43","501751","2021","2021-03-26","Počet domů",,"Drahanovice"
"965567594","0","2409","3206","1","43","501751","2021","2021-03-26","Počet domů","s výtahem","Drahanovice"
"965500840","625","2409","3206","2","43","501751","2021","2021-03-26","Počet domů","bez výtahu","Drahanovice"
"965527595","8","2409","5768","9","43","501751","2021","2021-03-26","Počet domů","nezjištěno","Drahanovice"
"957462073","551","2409",,,"43","501794","2021","2021-03-26","Počet domů",,"Dub nad Moravou"
"965528177","1","2409","3206","1","43","501794","2021","2021-03-26","Počet domů","s výtahem","Dub nad Moravou"
"965501391","548","2409","3206","2","43","501794","2021","2021-03-26","Počet domů","bez výtahu","Dub nad Moravou"
"965541454","2","2409","5768","9","43","501794","2021","2021-03-26","Počet domů","nezjištěno","Dub nad Moravou"
"957100384","433","2409",,,"43","501841","2021","2021-03-26","Počet domů",,"Grygov"
"965488317","2","2409","3206","1","43","501841","2021","2021-03-26","Počet domů","s výtahem","Grygov"
"965555272","431","2409","3206","2","43","501841","2021","2021-03-26","Počet domů","bez výtahu","Grygov"
"965582071","0","2409","5768","9","43","501841","2021","2021-03-26","Počet domů","nezjištěno","Grygov"
"957248557","688","2409",,,"43","502146","2021","2021-03-26","Počet domů",,"Hlubočky"
"965528018","17","2409","3206","1","43","502146","2021","2021-03-26","Počet domů","s výtahem","Hlubočky"
"965487801","655","2409","3206","2","43","502146","2021","2021-03-26","Počet domů","bez výtahu","Hlubočky"
"965541312","16","2409","5768","9","43","502146","2021","2021-03-26","Počet domů","nezjištěno","Hlubočky"
"957248083","558","2409",,,"43","502235","2021","2021-03-26","Počet domů",,"Hněvotín"
"965500383","0","2409","3206","1","43","502235","2021","2021-03-26","Počet domů","s výtahem","Hněvotín"
"965527160","557","2409","3206","2","43","502235","2021","2021-03-26","Počet domů","bez výtahu","Hněvotín"
"965527161","1","2409","5768","9","43","502235","2021","2021-03-26","Počet domů","nezjištěno","Hněvotín"
"957248279","208","2409",,,"43","502405","2021","2021-03-26","Počet domů",,"Hnojice"
"965567008","0","2409","3206","1","43","502405","2021","2021-03-26","Počet domů","s výtahem","Hnojice"
"965527015","207","2409","3206","2","43","502405","2021","2021-03-26","Počet domů","bez výtahu","Hnojice"
"965540296","1","2409","5768","9","43","502405","2021","2021-03-26","Počet domů","nezjištěno","Hnojice"
"957388331","734","2409",,,"43","502545","2021","2021-03-26","Počet domů",,"Horka nad Moravou"
"965581157","1","2409","3206","1","43","502545","2021","2021-03-26","Počet domů","s výtahem","Horka nad Moravou"
"965540951","728","2409","3206","2","43","502545","2021","2021-03-26","Počet domů","bez výtahu","Horka nad Moravou"
"965554368","5","2409","5768","9","43","502545","2021","2021-03-26","Počet domů","nezjištěno","Horka nad Moravou"
"957462051","243","2409",,,"43","502839","2021","2021-03-26","Počet domů",,"Cholina"
"965488640","2","2409","3206","1","43","502839","2021","2021-03-26","Počet domů","s výtahem","Cholina"
"965582396","237","2409","3206","2","43","502839","2021","2021-03-26","Počet domů","bez výtahu","Cholina"
"965542168","4","2409","5768","9","43","502839","2021","2021-03-26","Počet domů","nezjištěno","Cholina"
"957098534","192","2409",,,"43","503142","2021","2021-03-26","Počet domů",,"Jívová"
"965530026","0","2409","3206","1","43","503142","2021","2021-03-26","Počet domů","s výtahem","Jívová"
"965489938","188","2409","3206","2","43","503142","2021","2021-03-26","Počet domů","bez výtahu","Jívová"
"965570070","4","2409","5768","9","43","503142","2021","2021-03-26","Počet domů","nezjištěno","Jívová"
"957320703","270","2409",,,"43","503304","2021","2021-03-26","Počet domů",,"Kožušany-Tážaly"
"965581226","0","2409","3206","1","43","503304","2021","2021-03-26","Počet domů","s výtahem","Kožušany-Tážaly"
"965581225","270","2409","3206","2","43","503304","2021","2021-03-26","Počet domů","bez výtahu","Kožušany-Tážaly"
"965514418","0","2409","5768","9","43","503304","2021","2021-03-26","Počet domů","nezjištěno","Kožušany-Tážaly"
"957247887","143","2409",,,"43","503410","2021","2021-03-26","Počet domů",,"Žitovlice"
"965503794","0","2409","3206","1","43","503410","2021","2021-03-26","Počet domů","s výtahem","Žitovlice"
"965530493","140","2409","3206","2","43","503410","2021","2021-03-26","Počet domů","bez výtahu","Žitovlice"
"965503795","3","2409","5768","9","43","503410","2021","2021-03-26","Počet domů","nezjištěno","Žitovlice"
"957604969","2225","2409",,,"43","503444","2021","2021-03-26","Počet domů",,"Litovel"
"965501651","29","2409","3206","1","43","503444","2021","2021-03-26","Počet domů","s výtahem","Litovel"
"965555169","2179","2409","3206","2","43","503444","2021","2021-03-26","Počet domů","bez výtahu","Litovel"
"965555170","17","2409","5768","9","43","503444","2021","2021-03-26","Počet domů","nezjištěno","Litovel"
"957320493","341","2409",,,"43","503622","2021","2021-03-26","Počet domů",,"Luká"
"965568605","1","2409","3206","1","43","503622","2021","2021-03-26","Počet domů","s výtahem","Luká"
"965568604","328","2409","3206","2","43","503622","2021","2021-03-26","Počet domů","bez výtahu","Luká"
"965528595","12","2409","5768","9","43","503622","2021","2021-03-26","Počet domů","nezjištěno","Luká"
"957532597","571","2409",,,"43","503657","2021","2021-03-26","Počet domů",,"Lutín"
"965501477","20","2409","3206","1","43","503657","2021","2021-03-26","Počet domů","s výtahem","Lutín"
"965541548","544","2409","3206","2","43","503657","2021","2021-03-26","Počet domů","bez výtahu","Lutín"
"965528248","7","2409","5768","9","43","503657","2021","2021-03-26","Počet domů","nezjištěno","Lutín"
"957462228","396","2409",,,"43","503738","2021","2021-03-26","Počet domů",,"Majetín"
"965514486","1","2409","3206","1","43","503738","2021","2021-03-26","Počet domů","s výtahem","Majetín"
"965581298","395","2409","3206","2","43","503738","2021","2021-03-26","Počet domů","bez výtahu","Majetín"
"965487573","0","2409","5768","9","43","503738","2021","2021-03-26","Počet domů","nezjištěno","Majetín"
"957247990","195","2409",,,"43","503916","2021","2021-03-26","Počet domů",,"Kostelec"
"965488124","0","2409","3206","1","43","503916","2021","2021-03-26","Počet domů","s výtahem","Kostelec"
"965488123","190","2409","3206","2","43","503916","2021","2021-03-26","Počet domů","bez výtahu","Kostelec"
"965568331","5","2409","5768","9","43","503916","2021","2021-03-26","Počet domů","nezjištěno","Kostelec"
"957098162","252","2409",,,"43","504246","2021","2021-03-26","Počet domů",,"Mladeč"
"965514228","0","2409","3206","1","43","504246","2021","2021-03-26","Počet domů","s výtahem","Mladeč"
"965500808","248","2409","3206","2","43","504246","2021","2021-03-26","Počet domů","bez výtahu","Mladeč"
"965581061","4","2409","5768","9","43","504246","2021","2021-03-26","Počet domů","nezjištěno","Mladeč"
"957248195","153","2409",,,"43","504301","2021","2021-03-26","Počet domů",,"Dřenice"
"965487804","0","2409","3206","1","43","504301","2021","2021-03-26","Počet domů","s výtahem","Dřenice"
"965541313","152","2409","3206","2","43","504301","2021","2021-03-26","Počet domů","bez výtahu","Dřenice"
"965487805","1","2409","5768","9","43","504301","2021","2021-03-26","Počet domů","nezjištěno","Dřenice"
"957606075","455","2409",,,"43","504441","2021","2021-03-26","Počet domů",,"Náklo"
"965567526","0","2409","3206","1","43","504441","2021","2021-03-26","Počet domů","s výtahem","Náklo"
"965514192","454","2409","3206","2","43","504441","2021","2021-03-26","Počet domů","bez výtahu","Náklo"
"965527531","1","2409","5768","9","43","504441","2021","2021-03-26","Počet domů","nezjištěno","Náklo"
"957389001","707","2409",,,"43","504505","2021","2021-03-26","Počet domů",,"Náměšť na Hané"
"965582089","1","2409","3206","1","43","504505","2021","2021-03-26","Počet domů","s výtahem","Náměšť na Hané"
"965488327","706","2409","3206","2","43","504505","2021","2021-03-26","Počet domů","bez výtahu","Náměšť na Hané"
"965488328","0","2409","5768","9","43","504505","2021","2021-03-26","Počet domů","nezjištěno","Náměšť na Hané"
"957605711","344","2409",,,"43","504785","2021","2021-03-26","Počet domů",,"Paseka"
"965500004","1","2409","3206","1","43","504785","2021","2021-03-26","Počet domů","s výtahem","Paseka"
"965488182","340","2409","3206","2","43","504785","2021","2021-03-26","Počet domů","bez výtahu","Paseka"
"965580270","3","2409","5768","9","43","504785","2021","2021-03-26","Počet domů","nezjištěno","Paseka"
"957462574","111","2409",,,"43","504807","2021","2021-03-26","Počet domů",,"Lány"
"965501839","0","2409","3206","1","43","504807","2021","2021-03-26","Počet domů","s výtahem","Lány"
"965582163","110","2409","3206","2","43","504807","2021","2021-03-26","Počet domů","bez výtahu","Lány"
"965501840","1","2409","5768","9","43","504807","2021","2021-03-26","Počet domů","nezjištěno","Lány"
"957170603","102","2409",,,"43","504921","2021","2021-03-26","Počet domů",,"Třibřichy"
"965501240","0","2409","3206","1","43","504921","2021","2021-03-26","Počet domů","s výtahem","Třibřichy"
"965528023","101","2409","3206","2","43","504921","2021","2021-03-26","Počet domů","bez výtahu","Třibřichy"
"965554744","1","2409","5768","9","43","504921","2021","2021-03-26","Počet domů","nezjištěno","Třibřichy"
"957606056","80","2409",,,"43","504955","2021","2021-03-26","Počet domů",,"Dvakačovice"
"965554312","0","2409","3206","1","43","504955","2021","2021-03-26","Počet domů","s výtahem","Dvakačovice"
"965554311","75","2409","3206","2","43","504955","2021","2021-03-26","Počet domů","bez výtahu","Dvakačovice"
"965527617","5","2409","5768","9","43","504955","2021","2021-03-26","Počet domů","nezjištěno","Dvakačovice"
"957534222","187","2409",,,"43","505005","2021","2021-03-26","Počet domů",,"Bítovany"
"965516426","0","2409","3206","1","43","505005","2021","2021-03-26","Počet domů","s výtahem","Bítovany"
"965556483","185","2409","3206","2","43","505005","2021","2021-03-26","Počet domů","bez výtahu","Bítovany"
"965543038","2","2409","5768","9","43","505005","2021","2021-03-26","Počet domů","nezjištěno","Bítovany"
"957171391","389","2409",,,"43","505013","2021","2021-03-26","Počet domů",,"Příkazy"
"965570563","0","2409","3206","1","43","505013","2021","2021-03-26","Počet domů","s výtahem","Příkazy"
"965530510","387","2409","3206","2","43","505013","2021","2021-03-26","Počet domů","bez výtahu","Příkazy"
"965543825","2","2409","5768","9","43","505013","2021","2021-03-26","Počet domů","nezjištěno","Příkazy"
"957533708","92","2409",,,"43","505030","2021","2021-03-26","Počet domů",,"Dolní Bezděkov"
"965487894","0","2409","3206","1","43","505030","2021","2021-03-26","Počet domů","s výtahem","Dolní Bezděkov"
"965487893","91","2409","3206","2","43","505030","2021","2021-03-26","Počet domů","bez výtahu","Dolní Bezděkov"
"965528116","1","2409","5768","9","43","505030","2021","2021-03-26","Počet domů","nezjištěno","Dolní Bezděkov"
"957098694","597","2409",,,"43","505081","2021","2021-03-26","Počet domů",,"Senice na Hané"
"965486867","0","2409","3206","1","43","505081","2021","2021-03-26","Počet domů","s výtahem","Senice na Hané"
"965486866","594","2409","3206","2","43","505081","2021","2021-03-26","Počet domů","bez výtahu","Senice na Hané"
"965527272","3","2409","5768","9","43","505081","2021","2021-03-26","Počet domů","nezjištěno","Senice na Hané"
"957533260","77","2409",,,"43","505099","2021","2021-03-26","Počet domů",,"Červená Hora"
"965543926","0","2409","3206","1","43","505099","2021","2021-03-26","Počet domů","s výtahem","Červená Hora"
"965517292","75","2409","3206","2","43","505099","2021","2021-03-26","Počet domů","bez výtahu","Červená Hora"
"965570677","2","2409","5768","9","43","505099","2021","2021-03-26","Počet domů","nezjištěno","Červená Hora"
"957248452","531","2409",,,"43","505111","2021","2021-03-26","Počet domů",,"Slatinice"
"965502653","0","2409","3206","1","43","505111","2021","2021-03-26","Počet domů","s výtahem","Slatinice"
"965569365","531","2409","3206","2","43","505111","2021","2021-03-26","Počet domů","bez výtahu","Slatinice"
"965489200","0","2409","5768","9","43","505111","2021","2021-03-26","Počet domů","nezjištěno","Slatinice"
"957606524","388","2409",,,"43","505145","2021","2021-03-26","Počet domů",,"Březová nad Svitavou"
"965568244","0","2409","3206","1","43","505145","2021","2021-03-26","Počet domů","s výtahem","Březová nad Svitavou"
"965501470","383","2409","3206","2","43","505145","2021","2021-03-26","Počet domů","bez výtahu","Březová nad Svitavou"
"965554986","5","2409","5768","9","43","505145","2021","2021-03-26","Počet domů","nezjištěno","Březová nad Svitavou"
"957099482","976","2409",,,"43","505161","2021","2021-03-26","Počet domů",,"Štěpánov"
"965568807","1","2409","3206","1","43","505161","2021","2021-03-26","Počet domů","s výtahem","Štěpánov"
"965542136","972","2409","3206","2","43","505161","2021","2021-03-26","Počet domů","bez výtahu","Štěpánov"
"965555561","3","2409","5768","9","43","505161","2021","2021-03-26","Počet domů","nezjištěno","Štěpánov"
"957388644","2574","2409",,,"43","505188","2021","2021-03-26","Počet domů",,"Šternberk"
"965487204","61","2409","3206","1","43","505188","2021","2021-03-26","Počet domů","s výtahem","Šternberk"
"965540724","2502","2409","3206","2","43","505188","2021","2021-03-26","Počet domů","bez výtahu","Šternberk"
"965500681","11","2409","5768","9","43","505188","2021","2021-03-26","Počet domů","nezjištěno","Šternberk"
"957320408","519","2409",,,"43","505218","2021","2021-03-26","Počet domů",,"Šumvald"
"965502902","1","2409","3206","1","43","505218","2021","2021-03-26","Počet domů","s výtahem","Šumvald"
"965502901","513","2409","3206","2","43","505218","2021","2021-03-26","Počet domů","bez výtahu","Šumvald"
"965529534","5","2409","5768","9","43","505218","2021","2021-03-26","Počet domů","nezjištěno","Šumvald"
"957462547","416","2409",,,"43","505269","2021","2021-03-26","Počet domů",,"Těšetice"
"965540626","0","2409","3206","1","43","505269","2021","2021-03-26","Počet domů","s výtahem","Těšetice"
"965580825","412","2409","3206","2","43","505269","2021","2021-03-26","Počet domů","bez výtahu","Těšetice"
"965540627","4","2409","5768","9","43","505269","2021","2021-03-26","Počet domů","nezjištěno","Těšetice"
"957462431","587","2409",,,"43","505293","2021","2021-03-26","Počet domů",,"Troubelice"
"965567021","2","2409","3206","1","43","505293","2021","2021-03-26","Počet domů","s výtahem","Troubelice"
"965513659","580","2409","3206","2","43","505293","2021","2021-03-26","Počet domů","bez výtahu","Troubelice"
"965553710","5","2409","5768","9","43","505293","2021","2021-03-26","Počet domů","nezjištěno","Troubelice"
"957171516","614","2409",,,"43","505366","2021","2021-03-26","Počet domů",,"Tršice"
"965580453","1","2409","3206","1","43","505366","2021","2021-03-26","Počet domů","s výtahem","Tršice"
"965540105","598","2409","3206","2","43","505366","2021","2021-03-26","Počet domů","bez výtahu","Tršice"
"965513605","15","2409","5768","9","43","505366","2021","2021-03-26","Počet domů","nezjištěno","Tršice"
"957606666","191","2409",,,"43","505391","2021","2021-03-26","Počet domů",,"Bělá u Jevíčka"
"965568538","0","2409","3206","1","43","505391","2021","2021-03-26","Počet domů","s výtahem","Bělá u Jevíčka"
"965555282","186","2409","3206","2","43","505391","2021","2021-03-26","Počet domů","bez výtahu","Bělá u Jevíčka"
"965582090","5","2409","5768","9","43","505391","2021","2021-03-26","Počet domů","nezjištěno","Bělá u Jevíčka"
"957248174","483","2409",,,"43","505501","2021","2021-03-26","Počet domů",,"Újezd"
"965553515","1","2409","3206","1","43","505501","2021","2021-03-26","Počet domů","s výtahem","Újezd"
"965580293","480","2409","3206","2","43","505501","2021","2021-03-26","Počet domů","bez výtahu","Újezd"
"965513457","2","2409","5768","9","43","505501","2021","2021-03-26","Počet domů","nezjištěno","Újezd"
"957533415","149","2409",,,"43","505528","2021","2021-03-26","Počet domů",,"Jenčice"
"965486526","0","2409","3206","1","43","505528","2021","2021-03-26","Počet domů","s výtahem","Jenčice"
"965566804","147","2409","3206","2","43","505528","2021","2021-03-26","Počet domů","bez výtahu","Jenčice"
"965486527","2","2409","5768","9","43","505528","2021","2021-03-26","Počet domů","nezjištěno","Jenčice"
"957320903","1784","2409",,,"43","505587","2021","2021-03-26","Počet domů",,"Uničov"
"965528791","47","2409","3206","1","43","505587","2021","2021-03-26","Počet domů","s výtahem","Uničov"
"965488604","1732","2409","3206","2","43","505587","2021","2021-03-26","Počet domů","bez výtahu","Uničov"
"965515518","5","2409","5768","9","43","505587","2021","2021-03-26","Počet domů","nezjištěno","Uničov"
"957171832","939","2409",,,"43","505609","2021","2021-03-26","Počet domů",,"Velká Bystřice"
"965513987","2","2409","3206","1","43","505609","2021","2021-03-26","Počet domů","s výtahem","Velká Bystřice"
"965513986","934","2409","3206","2","43","505609","2021","2021-03-26","Počet domů","bez výtahu","Velká Bystřice"
"965487101","3","2409","5768","9","43","505609","2021","2021-03-26","Počet domů","nezjištěno","Velká Bystřice"
"957248500","944","2409",,,"43","505650","2021","2021-03-26","Počet domů",,"Velký Týnec"
"965555088","0","2409","3206","1","43","505650","2021","2021-03-26","Počet domů","s výtahem","Velký Týnec"
"965488133","942","2409","3206","2","43","505650","2021","2021-03-26","Počet domů","bez výtahu","Velký Týnec"
"965515045","2","2409","5768","9","43","505650","2021","2021-03-26","Počet domů","nezjištěno","Velký Týnec"
"957248613","432","2409",,,"43","505668","2021","2021-03-26","Počet domů",,"Velký Újezd"
"965582135","0","2409","3206","1","43","505668","2021","2021-03-26","Počet domů","s výtahem","Velký Újezd"
"965528575","430","2409","3206","2","43","505668","2021","2021-03-26","Počet domů","bez výtahu","Velký Újezd"
"965582136","2","2409","5768","9","43","505668","2021","2021-03-26","Počet domů","nezjištěno","Velký Újezd"
"957534062","298","2409",,,"43","505781","2021","2021-03-26","Počet domů",,"Zápy"
"965541601","1","2409","3206","1","43","505781","2021","2021-03-26","Počet domů","s výtahem","Zápy"
"965581835","297","2409","3206","2","43","505781","2021","2021-03-26","Počet domů","bez výtahu","Zápy"
"965555045","0","2409","5768","9","43","505781","2021","2021-03-26","Počet domů","nezjištěno","Zápy"
"957462328","140","2409",,,"43","505862","2021","2021-03-26","Počet domů",,"Žerotín"
"965554522","0","2409","3206","1","43","505862","2021","2021-03-26","Počet domů","s výtahem","Žerotín"
"965514492","138","2409","3206","2","43","505862","2021","2021-03-26","Počet domů","bez výtahu","Žerotín"
"965527818","2","2409","5768","9","43","505862","2021","2021-03-26","Počet domů","nezjištěno","Žerotín"
"957100227","7855","2409",,,"43","505927","2021","2021-03-26","Počet domů",,"Opava"
"965502014","374","2409","3206","1","43","505927","2021","2021-03-26","Počet domů","s výtahem","Opava"
"965542101","7415","2409","3206","2","43","505927","2021","2021-03-26","Počet domů","bez výtahu","Opava"
"965542102","66","2409","5768","9","43","505927","2021","2021-03-26","Počet domů","nezjištěno","Opava"
"957606665","490","2409",,,"43","506192","2021","2021-03-26","Počet domů",,"Bohuslavice"
"965488185","0","2409","3206","1","43","506192","2021","2021-03-26","Počet domů","s výtahem","Bohuslavice"
"965555132","485","2409","3206","2","43","506192","2021","2021-03-26","Počet domů","bez výtahu","Bohuslavice"
"965568377","5","2409","5768","9","43","506192","2021","2021-03-26","Počet domů","nezjištěno","Bohuslavice"
"957099171","1149","2409",,,"43","506214","2021","2021-03-26","Počet domů",,"Bolatice"
"965556247","1","2409","3206","1","43","506214","2021","2021-03-26","Počet domů","s výtahem","Bolatice"
"965542799","1144","2409","3206","2","43","506214","2021","2021-03-26","Počet domů","bez výtahu","Bolatice"
