"idhod","hodnota","ukaz_kod","vytah_cis","vytah_kod","uzemi_cis","uzemi_kod","sldb_rok","sldb_datum","ukaz_txt","vytah_txt","uzemi_txt"
"965568536","0","2409","3206","1","43","556637","2021","2021-03-26","Počet domů","s výtahem","Měčín"
"965515240","512","2409","3206","2","43","556637","2021","2021-03-26","Počet domů","bez výtahu","Měčín"
"965528540","16","2409","5768","9","43","556637","2021","2021-03-26","Počet domů","nezjištěno","Měčín"
"957389896","375","2409",,,"43","556718","2021","2021-03-26","Počet domů",,"Mochtín"
"965568623","0","2409","3206","1","43","556718","2021","2021-03-26","Počet domů","s výtahem","Mochtín"
"965582174","369","2409","3206","2","43","556718","2021","2021-03-26","Počet domů","bez výtahu","Mochtín"
"965488416","6","2409","5768","9","43","556718","2021","2021-03-26","Počet domů","nezjištěno","Mochtín"
"957532730","75","2409",,,"43","556726","2021","2021-03-26","Počet domů",,"Mokrosuky"
"965515002","0","2409","3206","1","43","556726","2021","2021-03-26","Počet domů","s výtahem","Mokrosuky"
"965487933","75","2409","3206","2","43","556726","2021","2021-03-26","Počet domů","bez výtahu","Mokrosuky"
"965488074","0","2409","5768","9","43","556726","2021","2021-03-26","Počet domů","nezjištěno","Mokrosuky"
"957533560","231","2409",,,"43","556734","2021","2021-03-26","Počet domů",,"Myslív"
"965515156","0","2409","3206","1","43","556734","2021","2021-03-26","Počet domů","s výtahem","Myslív"
"965581827","227","2409","3206","2","43","556734","2021","2021-03-26","Počet domů","bez výtahu","Myslív"
"965541749","4","2409","5768","9","43","556734","2021","2021-03-26","Počet domů","nezjištěno","Myslív"
"957387614","673","2409",,,"43","556751","2021","2021-03-26","Počet domů",,"Nalžovské Hory"
"965540460","0","2409","3206","1","43","556751","2021","2021-03-26","Počet domů","s výtahem","Nalžovské Hory"
"965553847","642","2409","3206","2","43","556751","2021","2021-03-26","Počet domů","bez výtahu","Nalžovské Hory"
"965527163","31","2409","5768","9","43","556751","2021","2021-03-26","Počet domů","nezjištěno","Nalžovské Hory"
"957532621","346","2409",,,"43","556815","2021","2021-03-26","Počet domů",,"Nezdice na Šumavě"
"965553941","0","2409","3206","1","43","556815","2021","2021-03-26","Počet domů","s výtahem","Nezdice na Šumavě"
"965500493","331","2409","3206","2","43","556815","2021","2021-03-26","Počet domů","bez výtahu","Nezdice na Šumavě"
"965527259","15","2409","5768","9","43","556815","2021","2021-03-26","Počet domů","nezjištěno","Nezdice na Šumavě"
"957248088","1110","2409",,,"43","556831","2021","2021-03-26","Počet domů",,"Nýrsko"
"965488554","22","2409","3206","1","43","556831","2021","2021-03-26","Počet domů","s výtahem","Nýrsko"
"965555506","1050","2409","3206","2","43","556831","2021","2021-03-26","Počet domů","bez výtahu","Nýrsko"
"965502004","38","2409","5768","9","43","556831","2021","2021-03-26","Počet domů","nezjištěno","Nýrsko"
"957462533","284","2409",,,"43","556858","2021","2021-03-26","Počet domů",,"Bravantice"
"965540840","0","2409","3206","1","43","556858","2021","2021-03-26","Počet domů","s výtahem","Bravantice"
"965567563","284","2409","3206","2","43","556858","2021","2021-03-26","Počet domů","bez výtahu","Bravantice"
"965487318","0","2409","5768","9","43","556858","2021","2021-03-26","Počet domů","nezjištěno","Bravantice"
"957606535","279","2409",,,"43","556866","2021","2021-03-26","Počet domů",,"Lhota u Vsetína"
"965581070","0","2409","3206","1","43","556866","2021","2021-03-26","Počet domů","s výtahem","Lhota u Vsetína"
"965567569","267","2409","3206","2","43","556866","2021","2021-03-26","Počet domů","bez výtahu","Lhota u Vsetína"
"965567570","12","2409","5768","9","43","556866","2021","2021-03-26","Počet domů","nezjištěno","Lhota u Vsetína"
"957462499","111","2409",,,"43","556874","2021","2021-03-26","Počet domů",,"Petrůvka"
"965567383","0","2409","3206","1","43","556874","2021","2021-03-26","Počet domů","s výtahem","Petrůvka"
"965487152","110","2409","3206","2","43","556874","2021","2021-03-26","Počet domů","bez výtahu","Petrůvka"
"965567515","1","2409","5768","9","43","556874","2021","2021-03-26","Počet domů","nezjištěno","Petrůvka"
"957606552","285","2409",,,"43","556882","2021","2021-03-26","Počet domů",,"Rabštejnská Lhota"
"965515015","0","2409","3206","1","43","556882","2021","2021-03-26","Počet domů","s výtahem","Rabštejnská Lhota"
"965528316","282","2409","3206","2","43","556882","2021","2021-03-26","Počet domů","bez výtahu","Rabštejnská Lhota"
"965488085","3","2409","5768","9","43","556882","2021","2021-03-26","Počet domů","nezjištěno","Rabštejnská Lhota"
"957462160","300","2409",,,"43","556912","2021","2021-03-26","Počet domů",,"Pačejov"
"965567090","1","2409","3206","1","43","556912","2021","2021-03-26","Počet domů","s výtahem","Pačejov"
"965580569","296","2409","3206","2","43","556912","2021","2021-03-26","Počet domů","bez výtahu","Pačejov"
"965540378","3","2409","5768","9","43","556912","2021","2021-03-26","Počet domů","nezjištěno","Pačejov"
"957170628","292","2409",,,"43","556921","2021","2021-03-26","Počet domů",,"Petrovice u Sušice"
"965540461","1","2409","3206","1","43","556921","2021","2021-03-26","Počet domů","s výtahem","Petrovice u Sušice"
"965553848","288","2409","3206","2","43","556921","2021","2021-03-26","Počet domů","bez výtahu","Petrovice u Sušice"
"965527318","3","2409","5768","9","43","556921","2021","2021-03-26","Počet domů","nezjištěno","Petrovice u Sušice"
"957533049","185","2409",,,"43","556947","2021","2021-03-26","Počet domů",,"Pila"
"965567381","0","2409","3206","1","43","556947","2021","2021-03-26","Počet domů","s výtahem","Pila"
"965487150","181","2409","3206","2","43","556947","2021","2021-03-26","Počet domů","bez výtahu","Pila"
"965487151","4","2409","5768","9","43","556947","2021","2021-03-26","Počet domů","nezjištěno","Pila"
"957532571","770","2409",,,"43","556955","2021","2021-03-26","Počet domů",,"Plánice"
"965515503","0","2409","3206","1","43","556955","2021","2021-03-26","Počet domů","s výtahem","Plánice"
"965528780","741","2409","3206","2","43","556955","2021","2021-03-26","Počet domů","bez výtahu","Plánice"
"965568780","29","2409","5768","9","43","556955","2021","2021-03-26","Počet domů","nezjištěno","Plánice"
"957320191","206","2409",,,"43","556963","2021","2021-03-26","Počet domů",,"Spešov"
"965580469","0","2409","3206","1","43","556963","2021","2021-03-26","Počet domů","s výtahem","Spešov"
"965553672","205","2409","3206","2","43","556963","2021","2021-03-26","Počet domů","bez výtahu","Spešov"
"965500203","1","2409","5768","9","43","556963","2021","2021-03-26","Počet domů","nezjištěno","Spešov"
"957462560","486","2409",,,"43","556971","2021","2021-03-26","Počet domů",,"Ropice"
"965567702","1","2409","3206","1","43","556971","2021","2021-03-26","Počet domů","s výtahem","Ropice"
"965527711","483","2409","3206","2","43","556971","2021","2021-03-26","Počet domů","bez výtahu","Ropice"
"965567850","2","2409","5768","9","43","556971","2021","2021-03-26","Počet domů","nezjištěno","Ropice"
"957172022","217","2409",,,"43","556980","2021","2021-03-26","Počet domů",,"Rokytnice"
"965581332","0","2409","3206","1","43","556980","2021","2021-03-26","Počet domů","s výtahem","Rokytnice"
"965487606","216","2409","3206","2","43","556980","2021","2021-03-26","Počet domů","bez výtahu","Rokytnice"
"965527850","1","2409","5768","9","43","556980","2021","2021-03-26","Počet domů","nezjištěno","Rokytnice"
"957248109","249","2409",,,"43","556998","2021","2021-03-26","Počet domů",,"Jezernice"
"965488225","0","2409","3206","1","43","556998","2021","2021-03-26","Počet domů","s výtahem","Jezernice"
"965528425","243","2409","3206","2","43","556998","2021","2021-03-26","Počet domů","bez výtahu","Jezernice"
"965528426","6","2409","5768","9","43","556998","2021","2021-03-26","Počet domů","nezjištěno","Jezernice"
"957387615","353","2409",,,"43","557005","2021","2021-03-26","Počet domů",,"Předslav"
"965527319","0","2409","3206","1","43","557005","2021","2021-03-26","Počet domů","s výtahem","Předslav"
"965513961","343","2409","3206","2","43","557005","2021","2021-03-26","Počet domů","bez výtahu","Předslav"
"965513962","10","2409","5768","9","43","557005","2021","2021-03-26","Počet domů","nezjištěno","Předslav"
"957248364","254","2409",,,"43","557013","2021","2021-03-26","Počet domů",,"Rabí"
"965568007","0","2409","3206","1","43","557013","2021","2021-03-26","Počet domů","s výtahem","Rabí"
"965581511","252","2409","3206","2","43","557013","2021","2021-03-26","Počet domů","bez výtahu","Rabí"
"965554724","2","2409","5768","9","43","557013","2021","2021-03-26","Počet domů","nezjištěno","Rabí"
"957248434","198","2409",,,"43","557021","2021","2021-03-26","Počet domů",,"Rejštejn"
"965567316","0","2409","3206","1","43","557021","2021","2021-03-26","Počet domů","s výtahem","Rejštejn"
"965527320","164","2409","3206","2","43","557021","2021","2021-03-26","Počet domů","bez výtahu","Rejštejn"
"965580805","34","2409","5768","9","43","557021","2021","2021-03-26","Počet domů","nezjištěno","Rejštejn"
"957170621","286","2409",,,"43","557030","2021","2021-03-26","Počet domů",,"Skorkov"
"965569965","0","2409","3206","1","43","557030","2021","2021-03-26","Počet domů","s výtahem","Skorkov"
"965503242","278","2409","3206","2","43","557030","2021","2021-03-26","Počet domů","bez výtahu","Skorkov"
"965556730","8","2409","5768","9","43","557030","2021","2021-03-26","Počet domů","nezjištěno","Skorkov"
